master_metadata_album_artist_name,artist_genre,macro_genre
Moray Pringle,math rock,Pop/Rock
J Alvarez,reggaeton,Urban
Gorillaz,unknown,unknown
Jaco Pastorius,jazz fusion,Otros
Alesso,edm,Electronica
WWE,unknown,unknown
Ana Mena,unknown,unknown
Aminé,unknown,unknown
Happy Mondays,madchester,unknown
Jimmy Buffett,unknown,unknown
Laid Back,unknown,unknown
Kenny Rogers,country,Otros
Shokk,meme rap,Urban
Rusherking,argentine trap,Urban
The Vamps,unknown,unknown
#TocoParaVos,cumbia,Regional
Run The Jewels,hip hop,Urban
Fall Out Boy,emo,Pop/Rock
Neil Diamond,unknown,unknown
Paco Amoroso,unknown,unknown
Katy Perry,pop,Pop/Rock
Romeo Santos,bachata,Regional
Super Simple Songs,children's music,unknown
Jesse MacLeod,unknown,unknown
Masked Wolf,unknown,unknown
Freddie Dredd,phonk,unknown
Otis Redding,soul,Otros
Guthrie Govan,jazz fusion,Otros
The Wailers,reggae,unknown
SAINt JHN,unknown,unknown
Maxi Trusso,unknown,unknown
The Rock Band,unknown,unknown
Midnight Oil,surf rock,Pop/Rock
The Kinks,proto-punk,Pop/Rock
The Human League,new wave,Pop/Rock
The Kooks,indie,Pop/Rock
Alejandro Lerner,argentine rock,Pop/Rock
Rooftops,math rock,Pop/Rock
Eddie Floyd,soul,Otros
The Strokes,garage rock,Pop/Rock
The Animals,classic rock,Pop/Rock
Destino Clan,unknown,unknown
potsu,lo-fi,unknown
The Axis of Awesome,comedy,unknown
La Quinta Estacion,latin pop,Pop/Rock
Board-Man,lo-fi,unknown
Frijo,argentine trap,Urban
Carlos Vives,colombian pop,Pop/Rock
Billy Ray Cyrus,unknown,unknown
Khalid,unknown,unknown
The Sugarhill Gang,unknown,unknown
Marlena Shaw,northern soul,Otros
Bill Evans,jazz,Otros
Michel Teló,sertanejo,unknown
Turf,argentine rock,Pop/Rock
Banda XXI,cuarteto,unknown
Aterrizaje Forzoso,latin rock,Pop/Rock
Luiz Bonfá,bossa nova,unknown
Cannonball Adderley,hard bop,unknown
Olvidate!,cumbia,Regional
Joey Bada$$,hip hop,Urban
Billy Idol,unknown,unknown
Alexandra Stan,unknown,unknown
Randy Newman,unknown,unknown
Screaming Headless Torsos,funk rock,Pop/Rock
Oscar Peterson Trio,jazz,Otros
The Black Keys,blues rock,Pop/Rock
Curtis Mayfield,soul,Otros
Art Tatum,jazz,Otros
Sha Na Na,musicals,unknown
ZAYN,unknown,unknown
Jhené Aiko,r&b,Urban
Ryan McCartan,musicals,unknown
Stan Getz,bossa nova,unknown
Lalo Leyva,unknown,unknown
The Smashing Pumpkins,alternative rock,Pop/Rock
Porta,unknown,unknown
M.S. Art,unknown,unknown
Tempo,latin hip hop,Urban
Amy Winehouse,unknown,unknown
Wallows,indie,Pop/Rock
Outkast,southern hip hop,Urban
Eiffel 65,eurodance,unknown
Portugal. The Man,unknown,unknown
Macklemore & Ryan Lewis,unknown,unknown
Bad Bunny,reggaeton,Urban
monte booker,unknown,unknown
BTS,k-pop,Pop/Rock
Maikel Delacalle,trap latino,Urban
George Harrison,unknown,unknown
Icona Pop,unknown,unknown
BADBADNOTGOOD,unknown,unknown
Los De La Nazza,reggaeton,Urban
The Royal Philharmonic Concert Orchestra,unknown,unknown
Lou Reed,glam rock,Pop/Rock
Prince,funk rock,Pop/Rock
Blue Öyster Cult,classic rock,Pop/Rock
Dimitri Vegas & Like Mike,big room,unknown
The Cars,power pop,Pop/Rock
John Newman,unknown,unknown
Gloria Gaynor,disco,unknown
Nikki Blonsky,musicals,unknown
Thurston Harris,doo-wop,unknown
Frank Ocean,unknown,unknown
Vampire Weekend,indie,Pop/Rock
Leona Lewis,unknown,unknown
Jarabe De Palo,rock en español,Pop/Rock
Mac DeMarco,indie,Pop/Rock
Luis Fonsi,latin,Regional
Carmen Twillie,unknown,unknown
Rick Astley,unknown,unknown
Fontella Bass,motown,unknown
WALK THE MOON,unknown,unknown
The La Planta,cumbia,Regional
Estelares,argentine rock,Pop/Rock
SwitchOTR,uk drill,Urban
Beck,unknown,unknown
Las Pastillas del Abuelo,argentine rock,Pop/Rock
Marcos Valle,bossa nova,unknown
Moai Beats,lo-fi,unknown
Peaches & Herb,disco,unknown
Justin Timberlake,unknown,unknown
Tyga,unknown,unknown
Poncho,electropop,Pop/Rock
Alabama Shakes,unknown,unknown
Yandar & Yostin,reggaeton,Urban
Amii Stewart,disco,unknown
Victoria Monét,alternative r&b,Pop/Rock
Salt-N-Pepa,unknown,unknown
Anitta,brazilian pop,Pop/Rock
The Lumineers,folk pop,Pop/Rock
Arctic Monkeys,indie,Pop/Rock
Los Unidades,unknown,unknown
Steely Dan,classic rock,Pop/Rock
The Proclaimers,unknown,unknown
Calle 13,latin hip hop,Urban
Gilda,cumbia,Regional
The Meters,funk,Otros
Monophonics,retro soul,Otros
Higher Brothers,chinese hip hop,Urban
Jimmy Cliff,reggae,unknown
Ashe,unknown,unknown
Joy Division,post-punk,Pop/Rock
Tay Zonday,unknown,unknown
Pusha T,unknown,unknown
Hailee Steinfeld,unknown,unknown
Steve Winwood,soft rock,Pop/Rock
David Guetta,edm,Electronica
Victorious Cast,unknown,unknown
Electro Deluxe,acid jazz,Electronica
Leslie Grace,bachata,Regional
Sean Paul,dancehall,unknown
Playboi Carti,rage rap,Urban
Boney M.,disco,unknown
The Harmony Group,unknown,unknown
A Tribe Called Quest,jazz rap,Urban
Depeche Mode,new wave,Pop/Rock
Kristen Anderson-Lopez,unknown,unknown
MAGIC!,unknown,unknown
Foo Fighters,rock,Pop/Rock
Mike Oldfield,progressive rock,Pop/Rock
Bill Medley,unknown,unknown
Amelia Cole,unknown,unknown
Matt White,gothic country,Otros
Janis Joplin,classic rock,Pop/Rock
Hentai Xander,hyperpop,Pop/Rock
Dj Cutman,lo-fi,unknown
Rascal Flatts,country,Otros
IQ,progressive rock,Pop/Rock
tides.,jazz beats,Otros
Beach Bunny,unknown,unknown
Europe,glam metal,unknown
Lionel Richie,motown,unknown
Charles Aznavour,chanson,unknown
Hardwell,big room,unknown
Sharpay Evans,unknown,unknown
Dessia el Otro,cumbia,Regional
Andrew Huang,unknown,unknown
Louis Armstrong,jazz,Otros
Dr. Octagon,experimental hip hop,Urban
Fat Joe,east coast hip hop,Urban
Netta Brielle,unknown,unknown
David Lebón,argentine rock,Pop/Rock
The Jackson 5,motown,unknown
Katie Viqueira,lullaby,unknown
Sister Sledge,disco,unknown
Nicki Nicole,argentine trap,Urban
Evanescence,alternative metal,Pop/Rock
The Ronettes,christmas,unknown
Boyce Avenue,acoustic pop,Pop/Rock
Bobby Caldwell,unknown,unknown
Queens of the Stone Age,stoner rock,Pop/Rock
The Teardrop Explodes,post-punk,Pop/Rock
Suzanne Vega,singer-songwriter,unknown
RichaadEB,unknown,unknown
Los Twist,argentine rock,Pop/Rock
Irma Thomas,unknown,unknown
Camilo Salinas,unknown,unknown
Alannah Myles,unknown,unknown
Rockabye Baby!,lullaby,unknown
